Player,Number seasons,Games played,At bats,Runs,Hits,Doubles,Triples,Home runs,RBIs,Walks,Strikeouts,Batting average,On base pct,Slugging pct,Fielding ave,Position,Hall of Fame
BILLY HAMILTON,14,1591,6268,1690,2158,242,94,40,736,1187,218,0.344,0.455,0.432,0.926,Outfield,2
GRANNY HAMNER,17,1531,5839,711,1529,272,62,104,708,351,432,0.262,0.304,0.383,0.946,Shortstop,0
LEE HANDLEY,10,968,3356,418,902,122,45,15,297,267,204,0.269,0.323,0.345,0.949,Third base,0
LARRY HANEY,12,480,919,68,198,30,1,12,73,44,175,0.215,0.254,0.289,0.985,Catcher,0
FRANK HANKINSON,10,849,3272,410,747,122,39,13,166,170,211,0.228,0.267,0.301,0.875,Third base,0
NED HANLON,13,1267,5074,930,1317,159,79,30,517,471,357,0.26,0.325,0.34,0.891,Outfield,0
RON HANSEN,15,1384,4311,446,1007,156,17,106,501,551,643,0.234,0.323,0.351,0.968,Shortstop,0
BUBBLES HARGRAVE,12,852,2533,314,786,155,58,29,376,217,165,0.31,0.372,0.452,0.983,Catcher,0
PINKY HARGRAVE,10,650,1601,177,445,91,16,39,265,140,165,0.278,0.339,0.428,0.976,Catcher,0
MIKE HARGROVE,12,1666,5564,783,1614,266,28,80,686,965,550,0.29,0.4,0.391,0.991,First base,0
TERRY HARMON,10,547,1125,164,262,31,12,4,72,117,175,0.233,0.312,0.292,0.989,Second base,0
GEORGE HARPER,11,1073,3398,505,1030,158,43,91,528,389,208,0.303,0.38,0.455,0.957,Outfield,0
TOMMY HARPER,15,1810,6269,972,1609,256,36,146,567,753,1080,0.257,0.34,0.379,0.986,Outfield,0
TOBY HARRAH,17,2155,7402,1115,1954,307,40,195,918,1153,868,0.264,0.368,0.395,0.963,Third base,0
BUD HARRELSON,16,1533,4744,539,1120,136,45,7,267,633,653,0.236,0.329,0.288,0.969,Shortstop,0
JOE HARRIS,10,970,3035,461,963,201,64,47,517,413,188,0.317,0.404,0.472,0.989,First base,0
BUCKY HARRIS,12,1263,4736,722,1297,224,64,9,506,472,310,0.274,0.352,0.354,0.965,Second base,0
JIM-RAY HART,12,1125,3783,518,1052,148,29,170,578,380,573,0.278,0.348,0.467,0.929,Third base,0
GROVER HARTLEY,14,569,1319,135,353,60,11,3,144,127,97,0.268,0.339,0.337,0.968,Catcher,0
GABBY HARTNETT,20,1990,6432,867,1912,396,64,236,1179,703,697,0.297,0.37,0.489,0.984,Catcher,2
TOPSY HARTSEL,14,1356,4848,826,1336,182,92,31,341,837,.,0.276,0.383,0.37,0.956,Outfield,0
ROY HARTZELL,11,1290,4548,503,1146,112,55,12,397,455,118,0.252,0.327,0.309,0.959,Outfield,0
RON HASSEY,14,1192,3440,348,914,172,7,71,438,385,378,0.266,0.343,0.382,0.993,Catcher,0
MICKEY HATCHER,12,1130,3377,348,946,172,20,38,375,164,246,0.28,0.316,0.377,0.983,Outfield,0
GRADY HATTON,12,1312,4206,562,1068,166,33,91,533,646,430,0.254,0.355,0.374,0.956,Third base,0
FRANKIE HAYES,14,1364,4493,545,1164,213,32,119,628,564,627,0.259,0.343,0.4,0.977,Catcher,0
JACKIE HAYES,14,1091,4040,494,1069,196,33,20,493,309,241,0.265,0.318,0.344,0.976,Second base,0
VON HAYES,12,1495,5249,767,1402,282,36,143,696,712,804,0.267,0.357,0.416,0.983,Outfield,0
RAY HAYWORTH,15,699,2062,220,546,92,16,5,238,198,188,0.265,0.331,0.332,0.987,Catcher,0
JEFF HEATH,14,1383,4937,777,1447,279,102,194,887,593,670,0.293,0.37,0.509,0.972,Outfield,0
MIKE HEATH,14,1325,4212,462,1061,173,27,86,469,278,616,0.252,0.302,0.367,0.981,Catcher,0
CLIFF HEATHCOTE,15,1415,4443,653,1222,206,55,42,448,367,325,0.275,0.333,0.375,0.971,Outfield,0
RICHIE HEBNER,18,1908,6144,865,1694,273,57,203,890,687,741,0.276,0.356,0.438,0.946,Third base,0
DANNY HEEP,13,883,1961,208,503,96,6,30,229,220,242,0.257,0.334,0.357,0.986,Outfield,0
DON HEFFNER,11,743,2526,275,610,99,19,6,248,270,218,0.241,0.317,0.303,0.973,Second base,0
JIM HEGAN,17,1666,4772,550,1087,187,46,92,525,456,742,0.228,0.296,0.344,0.99,Catcher,0
MIKE HEGAN,12,965,2080,281,504,73,18,53,229,311,489,0.242,0.343,0.371,0.995,First base,0
HARRY HEILMANN,17,2148,7787,1291,2660,542,151,183,1539,856,550,0.342,0.41,0.52,0.962,Outfield,1
BOB HEISE,11,499,1144,104,283,43,3,1,86,47,77,0.247,0.281,0.293,0.945,Shortstop,0
WOODIE HELD,14,1390,4019,524,963,150,22,179,559,508,944,0.24,0.333,0.421,0.96,Shortstop,0
TOMMY HELMS,14,1435,4997,414,1342,223,21,34,477,231,301,0.269,0.303,0.342,0.983,Second base,0
CHARLIE HEMPHILL,11,1242,4541,580,1230,117,68,22,421,435,.,0.271,0.337,0.341,0.944,Outfield,0
ROLLIE HEMSLEY,19,1593,5047,562,1321,257,72,31,555,357,395,0.262,0.311,0.36,0.978,Catcher,0
SOLLY HEMUS,11,961,2694,459,736,137,41,51,263,456,248,0.273,0.39,0.411,0.962,Shortstop,0
KEN HENDERSON,16,1444,4553,595,1168,216,26,122,576,589,763,0.257,0.346,0.396,0.977,Outfield,0
STEVE HENDERSON,12,1085,3484,459,976,162,49,68,428,386,677,0.28,0.354,0.413,0.968,Outfield,0
GEORGE HENDRICK,18,2048,7129,941,1980,343,27,267,1111,567,1013,0.278,0.333,0.446,0.985,Outfield,0
HARVEY HENDRICK,11,922,2910,434,896,157,46,48,413,239,243,0.308,0.364,0.443,0.986,First base,0
ELLIE HENDRICKS,12,711,1888,205,415,66,7,62,230,229,319,0.22,0.308,0.361,0.99,Catcher,0
BUTCH HENLINE,11,740,2101,258,611,96,21,40,268,192,156,0.291,0.361,0.414,0.971,Catcher,0
TOMMY HENRICH,11,1284,4603,901,1297,269,73,183,795,712,383,0.282,0.382,0.491,0.981,Outfield,0
BABE HERMAN,13,1552,5603,882,1818,399,110,181,997,520,553,0.324,0.383,0.532,0.961,Outfield,0
BILLY HERMAN,15,1922,7707,1163,2345,486,82,47,839,737,428,0.304,0.367,0.407,0.967,Second base,2
KEITH HERNANDEZ,17,2088,7370,1124,2182,426,60,162,1071,1070,1012,0.296,0.388,0.436,0.994,First base,0
LARRY HERNDON,14,1537,4877,605,1334,186,76,107,550,353,793,0.274,0.325,0.409,0.972,Outfield,0
TOM HERR,13,1514,5349,676,1450,254,41,28,574,627,584,0.271,0.35,0.35,0.989,Second base,0
ED HERRMANN,11,922,2729,247,654,92,4,80,320,260,361,0.24,0.312,0.364,0.987,Catcher,0
MIKE HERSHBERGER,11,1150,3572,398,900,150,22,26,344,319,311,0.252,0.319,0.328,0.98,Outfield,0
BUCK HERZOG,13,1493,5284,705,1370,191,75,20,445,427,307,0.259,0.329,0.335,0.954,Second base,0
CHARLIE HICKMAN,12,1081,3982,478,1176,217,92,59,614,153,.,0.295,0.33,0.44,0.968,First base,0
JIM HICKMAN,13,1421,3974,518,1002,163,25,159,560,491,832,0.252,0.337,0.426,0.976,Outfield,0
PINKY HIGGINS,14,1802,6636,930,1941,375,50,140,1075,800,590,0.292,0.37,0.427,0.935,Third base,0
ANDY HIGH,13,1314,4400,618,1250,195,65,44,482,425,130,0.284,0.35,0.388,0.956,Third base,0
MARC HILL,14,737,1809,146,404,62,3,34,198,185,243,0.223,0.298,0.317,0.99,Catcher,0
BILL HINCHMAN,10,908,3043,364,793,128,69,20,369,298,174,0.261,0.336,0.368,0.954,Outfield,0
PAUL HINES,16,1481,6253,1083,1881,368,84,56,751,366,304,0.301,0.343,0.413,0.887,Outfield,0
CHUCK HINTON,11,1353,3968,518,1048,152,47,113,443,416,685,0.264,0.335,0.412,0.979,Outfield,0
LARRY HISLE,14,1197,4205,652,1146,193,32,166,674,462,941,0.273,0.35,0.452,0.978,Outfield,0
MYRIL HOAG,13,1020,3147,384,854,141,33,28,401,252,298,0.271,0.328,0.364,0.965,Outfield,0
DON HOAK,11,1263,4322,598,1144,214,44,89,498,523,530,0.265,0.347,0.396,0.959,Third base,0
DICK HOBLITZEL,11,1318,4706,591,1310,194,88,27,593,407,256,0.278,0.341,0.374,0.987,First base,0
GIL HODGES,18,2071,7030,1105,1921,295,48,370,1274,943,1137,0.273,0.361,0.487,0.992,First base,0
RON HODGES,12,666,1426,119,342,56,2,19,147,224,217,0.24,0.345,0.322,0.978,Catcher,0
SOLLY HOFMAN,14,1194,4072,554,1095,162,60,19,495,421,171,0.269,0.339,0.352,0.967,Outfield,0
SHANTY HOGAN,13,989,3180,288,939,146,12,61,474,220,188,0.295,0.348,0.406,0.985,Catcher,0
BILL HOLBERT,12,623,2335,182,486,41,7,0,86,58,91,0.208,0.228,0.232,0.907,Catcher,0
WALTER HOLKE,11,1212,4456,464,1278,153,58,24,487,191,304,0.287,0.318,0.363,0.993,First base,0
BUG HOLLIDAY,10,928,3648,728,1134,162,71,65,617,359,211,0.311,0.376,0.448,0.935,Outfield,0
DUCKY HOLMES,10,932,3601,539,1014,142,58,17,374,236,14,0.282,0.337,0.367,0.93,Outfield,0
TOMMY HOLMES,11,1320,4992,698,1507,292,47,88,581,480,122,0.302,0.366,0.432,0.989,Outfield,0
HARRY HOOPER,17,2309,8785,1429,2466,389,160,75,817,1136,412,0.281,0.368,0.387,0.966,Outfield,2
JOHNNY HOPP,14,1393,4260,698,1262,216,74,46,458,464,378,0.296,0.368,0.414,0.985,Outfield,0
BOB HORNER,10,1020,3777,560,1047,169,8,218,685,369,512,0.277,0.344,0.499,0.946,Third base,0
ROGERS HORNSBY,23,2259,8173,1579,2930,541,169,301,1584,1038,679,0.358,0.434,0.577,0.965,Second base,1
JOE HORNUNG,12,1123,4784,788,1230,172,90,31,564,120,498,0.257,0.277,0.35,0.922,Outfield,0
WILLIE HORTON,18,2028,7298,873,1993,284,40,325,1163,620,1313,0.273,0.335,0.457,0.972,Outfield,0
FRANK HOUSE,10,653,1994,202,494,64,11,47,235,151,147,0.248,0.304,0.362,0.988,Catcher,0
ELSTON HOWARD,14,1605,5363,619,1471,218,50,167,762,373,786,0.274,0.325,0.427,0.993,Catcher,0
FRANK HOWARD,16,1895,6488,864,1774,245,35,382,1119,782,1460,0.273,0.355,0.499,0.975,Outfield,0
ART HOWE,11,891,2626,268,682,139,23,43,293,275,287,0.26,0.332,0.379,0.965,Third base,0
ROY HOWELL,11,1112,3791,422,991,183,31,80,454,318,675,0.261,0.322,0.389,0.944,Third base,0
DUMMY HOY,14,1796,7112,1426,2044,248,121,40,726,1004,210,0.287,0.385,0.373,0.915,Outfield,0
GLENN HUBBARD,12,1354,4441,545,1084,214,22,70,448,539,640,0.244,0.33,0.349,0.983,Second base,0
MILLER HUGGINS,13,1586,5558,948,1474,146,50,9,318,1003,312,0.265,0.381,0.314,0.956,Second base,0
JOHN HUMMEL,12,1161,3906,421,991,128,84,29,394,346,269,0.254,0.316,0.352,0.963,Second base,0
RANDY HUNDLEY,14,1061,3442,311,813,118,13,82,381,271,565,0.236,0.294,0.35,0.99,Catcher,0
RON HUNT,12,1483,5235,745,1429,223,23,39,370,555,382,0.273,0.369,0.347,0.976,Second base,0
CLINT HURDLE,10,515,1391,162,360,81,12,32,193,176,261,0.259,0.345,0.403,0.965,Outfield,0
TOM HUTTON,12,952,1655,196,410,63,7,22,186,234,140,0.248,0.341,0.334,0.995,First base,0
DANE IORG,10,743,1647,149,455,103,11,14,216,107,180,0.276,0.321,0.378,0.977,Outfield,0
ARTHUR IRWIN,13,1010,3871,552,934,141,45,5,396,309,378,0.241,0.299,0.305,0.881,Shortstop,0
CHARLIE IRWIN,10,989,3679,555,981,144,46,16,488,286,42,0.267,0.329,0.344,0.921,Third base,0
FRANK ISBELL,10,1119,4219,501,1056,158,62,13,455,190,.,0.25,0.289,0.326,0.986,First base,0
MIKE IVIE,11,857,2694,309,724,133,17,81,411,214,402,0.269,0.326,0.421,0.993,First base,0
FRED JACKLITSCH,13,490,1344,160,327,64,12,5,153,201,100,0.243,0.347,0.32,0.978,Catcher,0
JOE JACKSON,13,1332,4981,873,1772,307,168,54,785,519,158,0.356,0.423,0.517,0.962,Outfield,0
RANDY JACKSON,10,955,3203,412,835,115,44,103,415,281,382,0.261,0.322,0.421,0.955,Third base,0
REGGIE JACKSON,21,2820,9864,1551,2584,463,49,563,1702,1375,2597,0.262,0.358,0.49,0.967,Outfield,1
SONNY JACKSON,12,936,3055,396,767,81,28,7,162,250,265,0.251,0.31,0.303,0.949,Shortstop,0
RON JACKSON,10,926,2986,356,774,165,22,56,342,213,329,0.259,0.316,0.385,0.993,First base,0
TRAVIS JACKSON,15,1656,6086,833,1768,291,86,135,929,412,565,0.291,0.337,0.433,0.952,Shortstop,2
BABY-DOLL JACOBSON,11,1472,5507,787,1714,328,94,83,819,355,410,0.311,0.357,0.45,0.973,Outfield,0
BROOK JACOBY,11,1311,4520,535,1220,204,24,120,545,439,764,0.27,0.337,0.405,0.958,Third base,0
CHARLIE JAMIESON,18,1779,6560,1062,1990,322,80,18,552,748,345,0.303,0.378,0.385,0.967,Outfield,0
HAL JANVRIN,10,759,2221,250,515,68,18,6,210,171,197,0.232,0.292,0.287,0.907,Shortstop,0
JULIAN JAVIER,13,1622,5722,722,1469,216,55,78,506,314,812,0.257,0.298,0.355,0.972,Second base,0
HAL JEFFCOAT,12,918,1963,249,487,95,18,26,188,114,289,0.248,0.291,0.355,0.978,Outfield,0
HUGHIE JENNINGS,17,1285,4904,994,1527,232,88,18,840,347,117,0.311,0.39,0.406,0.922,Shortstop,2
JACKIE JENSEN,11,1438,5236,810,1463,259,45,199,929,750,546,0.279,0.372,0.46,0.977,Outfield,0
ALEX JOHNSON,13,1322,4623,550,1331,180,33,78,525,244,626,0.288,0.329,0.392,0.953,Outfield,0
CLIFF JOHNSON,15,1369,3945,539,1016,188,10,196,699,568,719,0.258,0.358,0.459,0.993,Designated hitter,0
DAVEY JOHNSON,13,1435,4797,564,1252,242,18,136,609,559,675,0.261,0.343,0.404,0.98,Second base,0
DERON JOHNSON,16,1765,5941,706,1447,247,33,245,923,585,1318,0.244,0.313,0.42,0.993,First base,0
ERNIE JOHNSON,10,813,2619,372,697,91,36,19,256,181,153,0.266,0.317,0.35,0.944,Shortstop,0
INDIAN-BOB JOHNSON,13,1863,6920,1239,2051,396,95,288,1283,1075,851,0.296,0.393,0.506,0.952,Outfield,0
BOB JOHNSON,11,874,2307,254,628,88,11,44,230,156,291,0.272,0.321,0.377,0.968,Shortstop,0
ROY JOHNSON,10,1155,4359,717,1292,275,83,58,556,489,380,0.296,0.369,0.437,0.938,Outfield,0
JIMMY JOHNSTON,13,1377,5070,754,1493,185,75,22,410,391,246,0.294,0.347,0.374,0.926,Third base,0
DOC JOHNSTON,11,1055,3774,478,992,154,68,14,381,264,292,0.263,0.319,0.351,0.989,First base,0
JAY JOHNSTONE,20,1748,4703,578,1254,215,38,102,531,429,632,0.267,0.331,0.394,0.979,Outfield,0
CHARLEY JONES,11,881,3687,728,1101,170,98,56,219,237,124,0.299,0.347,0.443,0.882,Outfield,0
CLEON JONES,13,1213,4263,565,1196,183,33,93,524,360,702,0.281,0.342,0.404,0.978,Outfield,0
DAVY JONES,14,1089,3772,643,1020,98,40,9,289,478,16,0.27,0.356,0.325,0.962,Outfield,0
FIELDER JONES,15,1788,6747,1180,1920,206,75,21,631,817,15,0.285,0.368,0.347,0.964,Outfield,0
MACK JONES,10,1002,3091,485,778,132,31,133,415,383,756,0.252,0.349,0.444,0.976,Outfield,0
RUPPERT JONES,12,1331,4415,643,1103,215,38,147,579,534,817,0.25,0.332,0.416,0.986,Outfield,0
WILLIE JONES,15,1691,5826,786,1502,252,33,190,812,755,541,0.258,0.345,0.41,0.963,Third base,0
EDDIE JOOST,17,1574,5606,874,1339,238,35,134,601,1043,827,0.239,0.361,0.366,0.958,Shortstop,0
BUCK JORDAN,10,811,2980,396,890,153,35,17,281,182,109,0.299,0.34,0.391,0.99,First base,0
ART JORGENS,11,307,738,79,176,31,5,4,89,85,73,0.238,0.317,0.31,0.978,Catcher,0
MIKE JORGENSEN,17,1633,3421,429,833,132,13,95,426,532,589,0.243,0.349,0.373,0.994,First base,0
VON JOSHUA,10,822,2234,277,610,87,31,30,184,108,338,0.273,0.307,0.38,0.975,Outfield,0
JOE JUDGE,20,2171,7898,1184,2352,433,159,71,1034,965,478,0.298,0.378,0.42,0.993,First base,0
BILLY JURGES,17,1816,6253,721,1613,245,55,43,656,568,530,0.258,0.325,0.335,0.964,Shortstop,0
MIKE KAHOE,11,410,1309,103,278,43,14,4,105,39,0,0.212,0.237,0.276,0.968,Catcher,0
AL KALINE,22,2834,10116,1622,3007,498,75,399,1583,1277,1020,0.297,0.379,0.48,0.986,Outfield,1
WILLIE KAMM,13,1693,5851,802,1643,348,85,29,826,824,405,0.281,0.372,0.384,0.967,Third base,0
EDDIE KASKO,10,1077,3546,411,935,146,13,22,261,265,353,0.264,0.318,0.331,0.971,Shortstop,0
WILLIE KEELER,19,2123,8591,1719,2932,241,145,33,810,524,36,0.341,0.387,0.415,0.96,Outfield,1
JIM KEENAN,10,523,1873,254,452,61,36,22,152,177,111,0.241,0.314,0.348,0.935,Catcher,0
GEORGE KELL,15,1795,6702,881,2054,385,50,78,870,621,287,0.306,0.368,0.414,0.969,Third base,2
MICK KELLEHER,11,622,1081,108,230,32,6,0,65,74,133,0.213,0.268,0.253,0.976,Shortstop,0
CHARLIE KELLER,13,1170,3790,725,1085,166,72,189,760,784,499,0.286,0.41,0.518,0.98,Outfield,0
JOE KELLEY,17,1853,7006,1421,2220,358,194,65,1194,911,163,0.317,0.401,0.451,0.955,Outfield,2
GEORGE KELLY,16,1622,5993,819,1778,337,76,148,1020,386,694,0.297,0.342,0.452,0.992,First base,2
PAT KELLY,15,1385,4338,620,1147,189,35,76,418,588,768,0.264,0.356,0.377,0.978,Outfield,0
KING KELLY,16,1455,5894,1357,1813,359,102,69,950,549,417,0.308,0.368,0.438,0.82,Outfield,2
KEN KELTNER,13,1526,5683,737,1570,308,69,163,852,514,480,0.276,0.338,0.441,0.965,Third base,0
STEVE KEMP,11,1168,4058,581,1128,179,25,130,634,576,605,0.278,0.37,0.431,0.982,Outfield,0
FRED KENDALL,12,877,2576,170,603,86,11,31,244,189,240,0.234,0.288,0.312,0.987,Catcher,0
JOHN KENNEDY,12,856,2110,237,475,77,17,32,185,142,461,0.225,0.282,0.323,0.953,Third base,0
BOB KENNEDY,16,1483,4624,514,1176,196,41,63,514,364,443,0.254,0.31,0.355,0.978,Outfield,0
TERRY KENNEDY,14,1491,4979,474,1313,244,12,113,628,365,855,0.264,0.316,0.386,0.985,Catcher,0
MARTY KEOUGH,11,841,1796,256,434,71,23,43,176,164,318,0.242,0.311,0.379,0.984,Outfield,0
DON KESSINGER,16,2078,7651,899,1931,254,80,14,527,684,759,0.252,0.316,0.312,0.966,Shortstop,0
HARMON KILLEBREW,22,2435,8147,1283,2086,290,24,573,1584,1559,1699,0.256,0.379,0.509,0.992,First base,1
BILL KILLEFER,13,1035,3150,237,751,86,21,4,240,113,126,0.238,0.273,0.283,0.976,Catcher,0
RALPH KINER,10,1472,5205,971,1451,216,39,369,1015,1011,749,0.279,0.398,0.548,0.974,Outfield,1
JIM KING,11,1125,2918,374,699,112,19,117,401,363,401,0.24,0.328,0.411,0.984,Outfield,0
DAVE KINGMAN,16,1941,6677,901,1575,240,25,442,1210,608,1816,0.236,0.305,0.478,0.957,Outfield,0
TOM KINSLOW,10,380,1414,186,376,40,29,12,222,67,92,0.266,0.301,0.361,0.923,Catcher,0
ED KIRKPATRICK,16,1311,3467,411,824,143,18,85,424,456,518,0.238,0.33,0.363,0.989,Outfield,0
RON KITTLE,10,843,2708,356,648,100,3,176,460,236,744,0.239,0.309,0.473,0.974,Outfield,0
MALACHI KITTRIDGE,16,1215,4027,375,882,108,31,17,390,314,166,0.219,0.277,0.274,0.961,Catcher,0
BILLY KLAUS,11,821,2513,357,626,106,15,40,250,331,285,0.249,0.337,0.351,0.955,Shortstop,0
CHUCK KLEIN,17,1753,6486,1168,2076,398,74,300,1201,601,521,0.32,0.379,0.543,0.962,Outfield,2
LOU KLIMCHOCK,12,318,669,64,155,21,3,13,69,31,71,0.232,0.267,0.33,0.906,Third base,0
JOHNNY KLING,13,1260,4241,474,1151,181,61,20,513,281,114,0.271,0.318,0.357,0.971,Catcher,0
TED KLUSZEWSKI,15,1718,5929,848,1766,290,29,279,1028,492,365,0.298,0.354,0.498,0.993,First base,0
OTTO KNABE,11,1278,4469,572,1103,178,48,8,365,485,191,0.247,0.325,0.313,0.957,Second base,0
BILL KNICKERBOCKER,10,907,3418,423,943,198,27,28,368,244,238,0.276,0.326,0.374,0.955,Shortstop,0
RAY KNIGHT,13,1495,4829,490,1311,266,27,84,595,343,579,0.271,0.325,0.39,0.957,Third base,0
MARK KOENIG,12,1162,4271,572,1190,195,49,28,443,222,190,0.279,0.316,0.367,0.927,Shortstop,0
DON KOLLOWAY,12,1079,3993,466,1081,180,30,29,393,189,251,0.271,0.305,0.353,0.964,Second base,0
ED KONETCHY,15,2085,7649,972,2150,344,181,75,992,689,545,0.281,0.346,0.403,0.99,First base,0
LARRY KOPF,10,853,3010,349,750,84,30,5,266,242,214,0.249,0.312,0.302,0.928,Shortstop,0
ANDY KOSCO,10,658,1963,204,464,75,8,73,267,99,350,0.236,0.275,0.394,0.979,Outfield,0
ED KRANEPOOL,18,1853,5436,536,1418,225,25,118,614,454,581,0.261,0.319,0.377,0.994,First base,0
MIKE KREEVICH,12,1241,4676,676,1321,221,75,45,514,446,339,0.283,0.346,0.391,0.982,Outfield,0
RED KRESS,14,1391,5087,691,1454,298,58,89,799,474,453,0.286,0.347,0.42,0.944,Shortstop,0
TED KUBIAK,10,977,2447,238,565,61,21,13,202,271,272,0.231,0.309,0.289,0.981,Second base,0
BILL KUEHNE,10,1087,4284,536,996,145,115,25,313,137,260,0.232,0.258,0.338,0.876,Third base,0
HARVEY KUENN,15,1833,6913,951,2092,356,56,87,671,594,404,0.303,0.359,0.408,0.978,Outfield,0
JOE KUHEL,18,2104,7984,1236,2212,412,111,131,1049,980,612,0.277,0.359,0.406,0.992,First base,0
DUANE KUIPER,12,1057,3379,329,917,91,29,1,263,248,255,0.271,0.326,0.316,0.983,Second base,0
CHET LAABS,11,950,3102,467,813,151,44,117,509,389,595,0.262,0.346,0.452,0.977,Outfield,0
CANDY LaCHANCE,12,1263,4919,678,1377,197,86,39,690,219,124,0.28,0.318,0.379,0.984,First base,0
LEE LACY,16,1523,4549,650,1303,207,42,91,458,372,657,0.286,0.342,0.41,0.983,Outfield,0
JOE LAHOUD,11,791,1925,239,429,68,12,65,218,309,339,0.223,0.335,0.372,0.979,Outfield,0
NAP LAJOIE,21,2480,9589,1504,3242,657,163,83,1599,516,85,0.338,0.38,0.467,0.963,Second base,1
EDDIE LAKE,11,835,2595,442,599,105,9,39,193,546,312,0.231,0.366,0.323,0.947,Shortstop,0
STEVE LAKE,10,432,1005,78,240,35,5,13,95,39,140,0.239,0.271,0.322,0.99,Catcher,0
JIM LANDIS,11,1346,4288,625,1061,169,50,93,467,588,767,0.247,0.346,0.375,0.989,Outfield,0
KEN LANDREAUX,11,1264,4101,522,1099,180,45,91,479,299,421,0.268,0.321,0.4,0.981,Outfield,0
HOBIE LANDRITH,14,772,1929,179,450,69,5,34,203,253,188,0.233,0.323,0.327,0.983,Catcher,0
HAL LANIER,10,1196,3703,297,843,111,20,8,273,136,436,0.228,0.256,0.275,0.971,Shortstop,0
CARNEY LANSFORD,15,1862,7158,1007,2074,332,40,151,874,553,719,0.29,0.346,0.411,0.966,Third base,0
FRANK LaPORTE,11,1194,4212,501,1185,198,79,15,560,288,85,0.281,0.331,0.377,0.952,Second base,0
HENRY LARKIN,10,1184,4718,925,1430,259,114,53,549,484,141,0.303,0.38,0.44,0.971,First base,0
LYN LARY,12,1302,4603,805,1239,247,56,38,526,705,470,0.269,0.369,0.372,0.956,Shortstop,0
ARLIE LATHAM,17,1627,6822,1478,1833,245,85,27,398,589,239,0.269,0.334,0.341,0.87,Third base,0
CHARLIE LAU,11,527,1170,105,298,63,9,16,140,109,150,0.255,0.321,0.365,0.988,Catcher,0
COOKIE LAVAGETTO,10,1043,3509,487,945,183,37,40,486,485,244,0.269,0.36,0.377,0.936,Third base,0
DOC LAVAN,12,1163,3891,338,954,134,45,7,377,209,376,0.245,0.288,0.308,0.93,Shortstop,0
VANCE LAW,11,1212,3802,453,972,193,26,71,442,408,602,0.256,0.329,0.376,0.956,Third base,0
TONY LAZZERI,14,1740,6297,986,1840,334,115,178,1191,869,864,0.292,0.38,0.467,0.967,Second base,2
FREDDY LEACH,10,991,3733,543,1147,196,53,72,509,163,189,0.307,0.341,0.446,0.975,Outfield,0
RICK LEACH,10,799,1719,205,460,100,10,18,183,176,217,0.268,0.338,0.369,0.983,Outfield,0
TOMMY LEACH,19,2156,7959,1355,2143,266,172,63,810,820,278,0.269,0.34,0.37,0.975,Outfield,0
HANK LEIBER,10,813,2805,410,808,137,24,101,518,274,319,0.288,0.356,0.462,0.973,Outfield,0
NEMO LEIBOLD,13,1268,4167,638,1109,145,49,3,284,571,335,0.266,0.357,0.327,0.961,Outfield,0
JOHNNIE LeMASTER,12,1039,3191,320,709,109,19,22,229,241,564,0.222,0.278,0.289,0.961,Shortstop,0
CHET LEMON,16,1988,6868,973,1875,396,61,215,884,749,1024,0.273,0.357,0.442,0.984,Outfield,0
JIM LEMON,12,1010,3445,446,901,121,35,164,529,363,787,0.262,0.335,0.46,0.961,Outfield,0
JEFFREY LEONARD,14,1415,5045,614,1342,223,37,144,723,342,1000,0.266,0.316,0.411,0.974,Outfield,0
TED LEPCIO,10,729,2092,233,512,91,11,69,251,209,471,0.245,0.319,0.398,0.972,Second base,0
SAM LESLIE,10,822,2460,311,749,123,28,36,389,216,118,0.304,0.366,0.421,0.989,First base,0
DUFFY LEWIS,11,1459,5351,612,1518,289,68,38,793,352,353,0.284,0.333,0.384,0.959,Outfield,0
BUDDY LEWIS,11,1349,5261,830,1563,249,93,71,607,573,303,0.297,0.368,0.42,0.927,Third base,0
SIXTO LEZCANO,12,1291,4134,560,1122,184,34,148,591,576,768,0.271,0.363,0.44,0.98,Outfield,0
BOB LILLIS,10,817,2328,198,549,68,9,3,137,99,116,0.236,0.271,0.277,0.959,Shortstop,0
JOHNNY LINDELL,12,854,2795,401,762,124,48,72,404,289,366,0.273,0.344,0.429,0.98,Outfield,0
FREDDY LINDSTROM,13,1438,5611,895,1747,301,81,103,779,334,276,0.311,0.351,0.449,0.959,Third base,2
DANNY LITWHILER,11,1057,3494,428,982,162,32,107,451,299,377,0.281,0.342,0.438,0.982,Outfield,0
MICKEY LIVINGSTON,10,561,1490,128,354,56,9,19,153,144,141,0.238,0.31,0.326,0.984,Catcher,0
HANS LOBERT,14,1317,4563,640,1252,159,82,32,482,395,156,0.274,0.337,0.366,0.944,Third base,0
WHITEY LOCKMAN,15,1666,5940,836,1658,222,49,114,563,552,383,0.279,0.342,0.391,0.989,First base,0
JOHNNY LOGAN,13,1503,5244,651,1407,216,41,93,547,451,472,0.268,0.331,0.378,0.965,Shortstop,0
SHERM LOLLAR,18,1752,5351,623,1415,244,14,155,808,671,453,0.264,0.359,0.402,0.992,Catcher,0
ERNIE LOMBARDI,17,1853,5855,601,1792,277,27,190,990,430,262,0.306,0.358,0.46,0.979,Catcher,2
HERMAN LONG,16,1874,7674,1455,2127,342,96,92,1055,612,261,0.277,0.335,0.383,0.906,Shortstop,0
